gap> ScanRange(1, 120);

============================================================
  SCANNING GROUPS: order 1 to 120
  (Reproducing Velasquez-Berroteran 2022, aiming past 60)
============================================================
  Order    ID                 Group  Equal Covering?
     64   265  C2 x ((C2 x Q8) : C2)  YES
     64   266  ((C4 x C2) : C2) : (C2 x C2)  YES
     64   267  C2 x C2 x C2 x C2 x C2 x C2  YES
     65     1                   C65  cyclic — skip
     66     1              C11 x S3  no
     66     2              C3 x D22  no
     66     3                   D66  no
     66     4                   C66  cyclic — skip
     67     1                   C67  cyclic — skip
     68     1              C17 : C4  no
     68     2                   C68  cyclic — skip
     68     3              C17 : C4  no
     68     4                   D68  YES
     68     5              C34 x C2  YES
     69     1                   C69  cyclic — skip
     70     1              C7 x D10  no
     70     2              C5 x D14  no
     70     3                   D70  no
     70     4                   C70  cyclic — skip
     71     1                   C71  cyclic — skip
     72     1               C9 : C8  no
     72     2                   C72  cyclic — skip
     72     3               Q8 : C9  no
     72     4               C9 : Q8  YES
     72     5              C4 x D18  YES
     72     6                   D72  YES
     72     7        C2 x (C9 : C4)  YES
     72     8       (C18 x C2) : C2  YES
     72     9              C36 x C2  YES
     72    10               C9 x D8  YES
     72    11               C9 x Q8  YES
     72    12        C3 x (C3 : C8)  no
     72    13        (C3 x C3) : C8  YES
     72    14              C24 x C3  YES
     72    15  ((C2 x C2) : C9) : C2  no
     72    16  C2 x ((C2 x C2) : C9)  no
     72    17         C2 x C2 x D18  YES
     72    18         C18 x C2 x C2  YES
     72    19        (C3 x C3) : C8  no
     72    20        (C3 : C4) x S3  YES
     72    21  (C3 x C3) : (C4 x C2)  YES
     72    22        (C6 x S3) : C2  YES
     72    23        (C6 x S3) : C2  YES
     72    24        (C3 x C3) : Q8  YES
     72    25          C3 x SL(2,3)  YES
     72    26        C3 x (C3 : Q8)  YES
     72    27              C12 x S3  YES
     72    28              C3 x D24  YES
     72    29        C6 x (C3 : C4)  YES
     72    30  C3 x ((C6 x C2) : C2)  YES
     72    31        (C3 x C3) : Q8  YES
     72    32  C4 x ((C3 x C3) : C2)  YES
     72    33       (C12 x C3) : C2  YES
     72    34  C2 x ((C3 x C3) : C4)  YES
     72    35        (C6 x C6) : C2  YES
     72    36              C12 x C6  YES
     72    37          C3 x C3 x D8  YES
     72    38          C3 x C3 x Q8  YES
     72    39        (C3 x C3) : C8  no
     72    40        (S3 x S3) : C2  YES
     72    41        (C3 x C3) : Q8  YES
     72    42               C3 x S4  YES
     72    43        (C3 x A4) : C2  YES
     72    44               A4 x S3  no
     72    45  C2 x ((C3 x C3) : C4)  YES
     72    46          C2 x S3 x S3  YES
     72    47               C6 x A4  YES
     72    48          C2 x C6 x S3  YES
     72    49  C2 x C2 x ((C3 x C3) : C2)  YES
     72    50          C6 x C6 x C2  YES
     73     1                   C73  cyclic — skip
     74     1                   D74  no
     74     2                   C74  cyclic — skip
     75     1                   C75  cyclic — skip
     75     2        (C5 x C5) : C3  no
     75     3              C15 x C5  YES
     76     1              C19 : C4  no
     76     2                   C76  cyclic — skip
     76     3                   D76  YES
     76     4              C38 x C2  YES
     77     1                   C77  cyclic — skip
     78     1              C13 : C6  no
     78     2       C2 x (C13 : C3)  no
     78     3              C13 x S3  no
     78     4              C3 x D26  no
     78     5                   D78  no
     78     6                   C78  cyclic — skip
     79     1                   C79  cyclic — skip
     80     1              C5 : C16  no
     80     2                   C80  cyclic — skip
     80     3              C5 : C16  no
     80     4              C8 x D10  YES
     80     5              C40 : C2  YES
     80     6              C40 : C2  YES
     80     7                   D80  YES
     80     8              C5 : Q16  YES
     80     9        C2 x (C5 : C8)  YES
     80    10        (C5 : C8) : C2  YES
     80    11        C4 x (C5 : C4)  YES
     80    12        (C5 : C4) : C4  YES
     80    13              C20 : C4  YES
     80    14       (C20 x C2) : C2  YES
     80    15        (C5 x D8) : C2  YES
